,qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,task,db,qlength,fitting,sum_coverage,sum_lengths,source
0,KK3_CL10_TR_1_x_487nt,FAT,91.275,149,9,4,337,483,1,147,5.28e-54,200.0,megablast,ref,487,partial,0.30184804928131415,147,KK3
1,KK3_CL212_TR_1_x_118nt,AJ517264.4,91.818,110,9,0,9,118,185,76,3.19e-39,159.0,dc-megablast,ncbi,118,near-full,1.0,118,KK3
2,KK3_CL212_TR_1_x_118nt,AJ517266.4,91.818,110,9,0,9,118,185,76,3.19e-39,159.0,dc-megablast,ncbi,118,near-full,0.9322033898305084,110,KK3
3,KK3_CL212_TR_1_x_118nt,AJ517267.4,92.308,156,12,0,157,312,346,191,1.26e-57,222.0,megablast,ncbi_x3,354,partial,0.7711864406779662,273,KK3
4,KK3_CL212_TR_1_x_118nt,AJ517268.4,90.86,186,17,0,127,312,555,370,1.33e-68,260.0,dc-megablast,ncbi_x3,354,composite,0.8813559322033898,312,KK3
5,KK3_CL212_TR_1_x_118nt,AJ517269.4,91.398,186,16,0,127,312,555,370,3.12e-70,264.0,dc-megablast,ncbi_x3,354,composite,0.8813559322033898,312,KK3
6,KK3_CL212_TR_1_x_118nt,AJ517270.4,91.818,110,9,0,9,118,185,76,3.19e-39,159.0,dc-megablast,ncbi,118,near-full,0.9322033898305084,110,KK3
7,KK3_CL212_TR_1_x_118nt,AJ517271.4,91.066,347,26,3,9,354,699,357,1.46e-131,468.0,megablast,ncbi_x3,354,near-full,0.9717514124293786,344,KK3
8,KK3_CL212_TR_1_x_118nt,AJ517272.1,93.569,311,20,0,1,311,311,1,1.89e-130,464.0,megablast,ncbi_x3,354,near-full,1.0,354,KK3
9,KK3_CL212_TR_1_x_118nt,AJ517273.1,90.968,310,28,0,2,311,310,1,1.49e-116,418.0,megablast,ncbi_x3,354,near-full,0.9971751412429378,353,KK3
10,KK3_CL212_TR_1_x_118nt,AJ517274.1,92.283,311,24,0,1,311,311,1,8.850000000000001e-124,442.0,megablast,ncbi_x3,354,near-full,1.0,354,KK3
11,KK3_CL212_TR_1_x_118nt,AJ517275.1,90.675,311,29,0,1,311,311,1,1.93e-115,414.0,megablast,ncbi_x3,354,near-full,1.0,354,KK3
12,KK3_CL212_TR_1_x_118nt,AJ517276.4,94.545,110,6,0,9,118,185,76,4.47e-43,171.0,megablast,ncbi,118,near-full,1.0,118,KK3
13,KK3_CL212_TR_1_x_118nt,AJ517277.4,95.455,110,4,1,9,118,184,76,3.46e-44,174.0,megablast,ncbi,118,near-full,0.9322033898305084,110,KK3
14,KK3_CL212_TR_1_x_118nt,AJ517278.4,94.545,110,6,0,9,118,185,76,4.47e-43,171.0,megablast,ncbi,118,near-full,0.9322033898305084,110,KK3
15,KK3_CL212_TR_1_x_118nt,AJ517279.1,90.179,112,11,0,10,121,115,4,7.77e-35,147.0,megablast,ncbi_x3,354,partial,0.3163841807909605,112,KK3
16,KK3_CL212_TR_1_x_118nt,AJ517281.1,90.179,112,11,0,10,121,115,4,7.77e-35,147.0,megablast,ncbi_x3,354,partial,0.3163841807909605,112,KK3
17,KK3_CL212_TR_1_x_118nt,AJ517288.3,95.763,354,12,1,1,354,422,72,1.4000000000000002e-161,568.0,megablast,ncbi_x3,354,near-full,1.0,354,KK3
18,KK3_CL212_TR_1_x_118nt,AJ517289.4,90.395,354,34,0,1,354,661,308,5.25e-131,466.0,megablast,ncbi_x3,354,near-full,0.9858757062146892,349,KK3
19,KK3_CL212_TR_1_x_118nt,AJ517290.4,92.655,354,25,1,1,354,424,72,8.600000000000001e-144,508.0,megablast,ncbi_x3,354,near-full,1.0,354,KK3
20,KK3_CL212_TR_1_x_118nt,AJ517291.4,90.826,109,10,0,10,118,233,125,1.36e-37,152.0,dc-megablast,ncbi,118,near-full,0.923728813559322,109,KK3
21,KK3_CL212_TR_1_x_118nt,AJ517292.4,94.602,352,18,1,1,352,511,161,2.36e-154,544.0,megablast,ncbi_x3,354,near-full,0.9943502824858758,352,KK3
22,KK3_CL212_TR_1_x_118nt,AJ517293.1,91.694,301,25,0,7,307,301,1,1.49e-116,418.0,megablast,ncbi_x3,354,near-full,0.9830508474576272,348,KK3
23,KK3_CL212_TR_1_x_118nt,AM285293.1,95.312,64,3,0,291,354,477,540,2.2500000000000002e-21,103.0,dc-megablast,ncbi_x3,354,partial,0.1807909604519774,64,KK3
24,KK3_CL212_TR_1_x_118nt,BSCL75-1,100.0,28,0,0,91,118,1,28,3.49e-10,52.8,megablast,ref,118,partial,0.23728813559322035,28,KK3
25,KK3_CL212_TR_1_x_118nt,KA25_CL64_TR_1_x_118nt,94.69,339,18,0,16,354,1,339,9.989999999999999e-152,527.0,megablast,local_x3,354,near-full,1.0,354,KK3
26,KK3_CL212_TR_1_x_118nt,KC290897.1,93.22,118,8,0,1,118,353,236,3.46e-44,174.0,megablast,ncbi,118,near-full,1.0,118,KK3
27,KK3_CL212_TR_1_x_118nt,KC290898.1,91.243,354,31,0,1,354,104,457,5.22e-136,483.0,megablast,ncbi_x3,354,near-full,1.0,354,KK3
28,KK3_CL212_TR_1_x_118nt,AJ517263.4,92.727,110,8,0,9,118,185,76,7.499999999999999e-41,163.0,dc-megablast,ncbi,118,near-full,1.0,118,KK3
29,KK3_CL212_TR_1_x_118nt,KF719093.1,91.453,117,10,0,2,118,287,403,2.6899999999999997e-40,161.0,megablast,ncbi,118,near-full,0.9915254237288136,117,KK3
30,KK3_CL212_TR_1_x_118nt,AJ517262.4,90.909,110,10,0,9,118,185,76,2.0900000000000002e-36,148.0,megablast,ncbi,118,near-full,0.9322033898305084,110,KK3
31,KK3_CL212_TR_1_x_118nt,AJ517260.4,90.86,186,17,0,127,312,370,185,5.76e-66,250.0,megablast,ncbi_x3,354,composite,0.8785310734463276,311,KK3
32,KK3_CL212_TR_1_x_118nt,AJ517231.1,91.756,279,23,0,76,354,354,76,1.17e-107,388.0,megablast,ncbi_x3,354,partial,0.788135593220339,279,KK3
33,KK3_CL212_TR_1_x_118nt,AJ517232.1,90.415,313,30,0,42,354,354,42,6.94e-115,412.0,megablast,ncbi_x3,354,near-full,1.0,354,KK3
34,KK3_CL212_TR_1_x_118nt,AJ517233.1,91.558,308,26,0,4,311,308,1,8.909999999999999e-119,425.0,megablast,ncbi_x3,354,near-full,0.9915254237288136,351,KK3
35,KK3_CL212_TR_1_x_118nt,AJ517234.1,90.683,161,15,0,194,354,354,194,9.570000000000001e-58,224.0,dc-megablast,ncbi_x3,354,partial,0.4548022598870056,161,KK3
36,KK3_CL212_TR_1_x_118nt,AJ517235.1,90.698,43,4,0,312,354,354,312,6.9e-09,60.8,dc-megablast,ncbi_x3,354,partial,0.12146892655367232,43,KK3
37,KK3_CL212_TR_1_x_118nt,AJ517236.4,90.415,313,29,1,42,354,317,6,2.5e-114,411.0,megablast,ncbi_x3,354,near-full,0.884180790960452,313,KK3
38,KK3_CL212_TR_1_x_118nt,AJ517237.1,94.249,313,18,0,42,354,354,42,2.41e-139,494.0,megablast,ncbi_x3,354,near-full,1.0,354,KK3
39,KK3_CL212_TR_1_x_118nt,AJ517238.1,91.379,58,5,0,14,71,58,1,8e-15,80.5,megablast,ncbi_x3,354,partial,0.1638418079096045,58,KK3
