,qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,task,db,qlength,fitting,sum_coverage,sum_lengths,source
0,KK1_CL204_TR_1_x_118nt,KP5KP10(max)_CL163_TR_1_x_118nt,96.45,338,12,0,1,338,17,354,8.45e-162,558.0,megablast,comp_x3,354,near-full,1.0,354,KK1
1,KK1_CL204_TR_1_x_118nt,KK6_CL172_TR_1_x_118nt,94.314,299,17,0,56,354,1,299,4.58e-131,459.0,megablast,local_x3,354,near-full,0.9971751412429378,353,KK1
2,KK1_CL204_TR_1_x_118nt,KK3_CL212_TR_1_x_118nt,95.765,307,13,0,48,354,354,48,3.4899999999999996e-142,496.0,megablast,local_x3,354,near-full,0.9943502824858758,352,KK1
3,KK1_CL204_TR_1_x_118nt,KK2_CL205_TR_1_x_118nt,94.817,328,17,0,3,330,328,1,3.4699999999999997e-147,512.0,megablast,local_x3,354,near-full,0.9943502824858758,352,KK1
4,KK1_CL204_TR_1_x_118nt,KC290898.1,90.598,117,11,0,2,118,267,151,1.25e-38,156.0,megablast,ncbi,118,near-full,0.9915254237288136,117,KK1
5,KK1_CL204_TR_1_x_118nt,KC290897.1,90.826,109,9,1,3,111,659,766,2.71e-35,145.0,megablast,ncbi,118,near-full,0.923728813559322,109,KK1
6,KK1_CL204_TR_1_x_118nt,KC290896.1,91.089,101,9,0,17,117,342,242,4.53e-33,137.0,megablast,ncbi,118,near-full,0.8559322033898306,101,KK1
7,KK1_CL204_TR_1_x_118nt,KA25_CL64_TR_1_x_118nt,94.41,322,18,0,33,354,354,33,3.4899999999999996e-142,496.0,megablast,local_x3,354,near-full,0.9943502824858758,352,KK1
8,KK1_CL204_TR_1_x_118nt,BSCL75-1,94.595,37,2,0,39,75,37,1,4.78e-12,59.0,blastn,ref,118,partial,0.3135593220338983,37,KK1
9,KK1_CL204_TR_1_x_118nt,AJ517293.1,90.141,142,14,0,213,354,1,142,4.64e-49,194.0,dc-megablast,ncbi_x3,354,partial,0.4011299435028249,142,KK1
10,KK1_CL204_TR_1_x_118nt,AJ517292.4,90.341,352,33,1,3,354,232,582,7.83e-135,479.0,dc-megablast,ncbi_x3,354,near-full,0.9943502824858758,352,KK1
11,KK1_CL204_TR_1_x_118nt,AJ517291.4,90.667,75,7,0,39,113,1,75,6.16e-23,104.0,blastn,ncbi,118,composite,0.9322033898305084,110,KK1
12,KK1_CL204_TR_1_x_118nt,AJ517290.4,90.341,352,33,1,3,354,145,495,7.83e-135,479.0,dc-megablast,ncbi_x3,354,near-full,0.9943502824858758,352,KK1
13,KK1_CL204_TR_1_x_118nt,AJ517289.4,91.111,90,8,0,4,93,972,1061,5.66e-29,127.0,dc-megablast,ncbi_x3,354,partial,0.2542372881355932,90,KK1
14,KK1_CL204_TR_1_x_118nt,KT724938.1,90.351,114,10,1,5,118,8111,8223,2.0900000000000002e-36,148.0,megablast,ncbi,118,near-full,0.9661016949152542,114,KK1
15,KK1_CL204_TR_1_x_118nt,AJ517288.3,91.477,352,27,1,3,354,27,375,8.36e-141,499.0,dc-megablast,ncbi_x3,354,near-full,0.9943502824858758,352,KK1
16,KK1_CL204_TR_1_x_118nt,ON872675.1,93.243,296,20,0,59,354,1,296,4.12e-122,436.0,megablast,ncbi_x3,354,near-full,0.9971751412429378,353,KK1
17,KK1_CL204_TR_1_x_118nt,P351_0,90.435,115,11,0,4,118,123,9,3.35e-40,152.0,megablast,ref,118,near-full,0.9745762711864406,115,KK1
18,KK1_CL213_TR_1_x_421nt,MF467437.1,90.173,346,31,3,195,537,58804,59149,7.13e-125,448.0,megablast,ncbi_x3,1263,partial,0.19794140934283452,250,KK1
19,KK1_CL213_TR_1_x_421nt,KP5KP10(max)_CL194_TR_1_x_403nt,90.059,674,46,13,591,1263,1129,476,0.0,854.0,megablast,comp_x3,1263,partial,0.5328582739509106,673,KK1
20,KK1_CL213_TR_1_x_421nt,KK6_CL225_TR_1_x_391nt,91.729,1197,9,3,67,1263,1173,67,0.0,1781.0,dc-megablast,local_x3,1263,near-full,1.0,1263,KK1
21,KK1_CL213_TR_1_x_421nt,KK3_CL181_TR_1_x_421nt,99.048,1261,12,0,1,1261,1261,1,0.0,2263.0,megablast,local_x3,1263,near-full,1.0,1263,KK1
22,KK1_CL213_TR_1_x_421nt,KK2_CL188_TR_1_x_435nt,92.715,1153,55,13,140,1263,1,1153,0.0,1637.0,megablast,local_x3,1263,near-full,0.889944576405384,1124,KK1
23,KK1_CL213_TR_1_x_421nt,KC290906.1,92.754,207,13,2,1058,1263,48,253,7.600000000000001e-80,298.0,megablast,ncbi_x3,1263,partial,0.16310372129849565,206,KK1
24,KK1_CL213_TR_1_x_421nt,KA25_CL177_TR_1_x_448nt,90.617,1151,45,15,170,1262,59,1204,0.0,1469.0,megablast,local_x3,1263,near-full,0.8653998416468726,1093,KK1
25,KK1_CL213_TR_1_x_421nt,HQ213957.1,91.803,183,13,2,245,426,161,342,1.67e-66,254.0,megablast,ncbi_x3,1263,partial,0.4283452098178939,541,KK1
26,KK1_CL213_TR_1_x_421nt,HQ213956.1,91.005,189,12,5,250,434,114,301,2.16e-65,250.0,megablast,ncbi_x3,1263,partial,0.42280285035629456,534,KK1
27,KK1_CL213_TR_1_x_421nt,HQ213955.1,91.623,191,10,6,669,855,517,329,3.5799999999999998e-68,259.0,megablast,ncbi_x3,1263,partial,0.4338875692794933,548,KK1
